"redcap_id","recruit_date","source","recruit_int_summ","ps_proj_eligible","screened","sl_status","randomized","complete","rand_proj"
"571",2021-11-10,"BuildClinical","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"577",2021-11-15,"clin_trials_web","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"579",2021-11-15,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"582",2021-11-03,"BuildClinical","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"584",2021-11-16,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"586",2021-11-17,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"589",2021-11-18,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"590",2021-11-18,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"591",2021-11-18,"other_person","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"595",2021-11-22,"BuildClinical","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"596",2021-11-22,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"597",2021-11-22,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"599",2021-11-24,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"600",2021-11-24,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"601",2021-11-25,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"602",2021-11-29,"BuildClinical","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"605",2021-11-29,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"611",2021-11-29,"BuildClinical","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"613",2021-11-29,"BuildClinical","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"616",2021-11-29,"BuildClinical","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"618",2021-11-30,"BuildClinical",NA,"Project 3","not screened",NA,"not randomized","not complete","not randomized"
"619",2021-11-30,"BuildClinical",NA,"Project 2","not screened",NA,"not randomized","not complete","not randomized"
"620",2021-11-30,"flyer",NA,"Project 2","not screened",NA,"not randomized","not complete","not randomized"
"623",2021-11-30,"other_person","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"624",2021-11-30,"BuildClinical","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"625",2021-11-30,"BuildClinical",NA,"Project 3","not screened",NA,"not randomized","not complete","not randomized"
"626",2021-11-30,"BuildClinical",NA,"Project 2","not screened",NA,"not randomized","not complete","not randomized"
"628",2021-11-30,"BuildClinical",NA,"Project 3","not screened",NA,"not randomized","not complete","not randomized"
"630",2021-12-01,"BuildClinical","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"631",2021-12-01,"other_person",NA,"Project 2","not screened",NA,"not randomized","not complete","not randomized"
"632",2021-12-02,"BuildClinical",NA,"Project 2","not screened",NA,"not randomized","not complete","not randomized"
"S000002",2020-10-19,"pt_in_other_studies","screening_scheduled","Project 2","screened","Complete","randomized","complete","rand: Project 2"
"S000015",2020-10-23,"facebook","screening_scheduled","Project 1 and Project 3","screened","Complete","randomized","complete","rand: Project 1"
"S000019",2020-10-23,"pt_in_other_studies","screening_scheduled","Project 3","screened","Screening Ineligible","not randomized","not complete","not randomized"
